2024-04-25 19:49:17.337607,"{""acne"": 0.004827980883419514, ""blemishes"": 0.0011757328175008297, ""lips"": 0.003616533474996686, ""dryness"": 0.0017688916996121407, ""darkCircles"": 0.0003918670117855072}"
2024-04-25 19:49:33.273450,"{""acne"": 0.004258062690496445, ""blemishes"": 0.0015478836139664054, ""lips"": 0.002656684024259448, ""dryness"": 0.009791661985218525, ""darkCircles"": 0.0003859181597363204}"
2024-04-25 21:32:55.980419,"{""acne"": 0.00010572532482910901, ""blemishes"": 0.01611536182463169, ""lips"": 0.0024671638384461403, ""dryness"": 0.005551325157284737, ""darkCircles"": 0.000645767489913851}"
2024-04-25 21:37:47.185768,"{""acne"": 0.00010572532482910901, ""blemishes"": 0.01611536182463169, ""lips"": 0.0024671638384461403, ""dryness"": 0.005551325157284737, ""darkCircles"": 0.000645767489913851}"
2024-04-25 21:37:50.349951,"{""acne"": 0.00010572532482910901, ""blemishes"": 0.01611536182463169, ""lips"": 0.0024671638384461403, ""dryness"": 0.005551325157284737, ""darkCircles"": 0.000645767489913851}"
2024-04-25 21:37:57.207406,"{""acne"": 0.00010572532482910901, ""blemishes"": 0.01611536182463169, ""lips"": 0.0024671638384461403, ""dryness"": 0.005551325157284737, ""darkCircles"": 0.000645767489913851}"
2024-04-25 21:38:06.533368,"{""acne"": 0.005186060443520546, ""blemishes"": 0.0497487410902977, ""lips"": 0.0005539689445868134, ""dryness"": 0.0057190340012311935, ""darkCircles"": 0.0005718932952731848}"
2024-04-25 21:49:06.075165,"{""acne"": 0.0007592184701934457, ""blemishes"": 0.0004853963910136372, ""lips"": 9.731383033795282e-05, ""dryness"": 0.003230844624340534, ""darkCircles"": 6.438686250476167e-05}"
2024-04-25 21:49:47.170057,"{""acne"": 0.0016123760724440217, ""blemishes"": 0.0024815506767481565, ""lips"": 0.001960233086720109, ""dryness"": 0.011850425973534584, ""darkCircles"": 0.0001916813780553639}"
2024-04-25 21:53:23.423310,"{""acne"": 0.0001837949821492657, ""blemishes"": 0.0007528535788878798, ""lips"": 0.0014245067723095417, ""dryness"": 0.0023063644766807556, ""darkCircles"": 0.000125544480397366}"
2024-04-25 21:53:37.801444,"{""acne"": 0.0001837949821492657, ""blemishes"": 0.0007528535788878798, ""lips"": 0.0014245067723095417, ""dryness"": 0.0023063644766807556, ""darkCircles"": 0.000125544480397366}"
2024-04-25 22:06:01.108876,"{""acne"": 0.0012165496591478586, ""blemishes"": 6.734577618772164e-05, ""lips"": 0.03182302415370941, ""dryness"": 0.000247095653321594, ""darkCircles"": 0.0034989682026207447}"
2024-04-25 22:13:26.723992,"{""acne"": 0.00016066993703134358, ""blemishes"": 0.0023572524078190327, ""lips"": 0.00019176400383003056, ""dryness"": 0.001783429877832532, ""darkCircles"": 0.00048163419705815613}"
2024-04-25 22:14:15.137542,"{""acne"": 0.00016066993703134358, ""blemishes"": 0.0023572524078190327, ""lips"": 0.00019176400383003056, ""dryness"": 0.001783429877832532, ""darkCircles"": 0.00048163419705815613}"
2024-04-25 22:14:17.972981,"{""acne"": 0.00016066993703134358, ""blemishes"": 0.0023572524078190327, ""lips"": 0.00019176400383003056, ""dryness"": 0.001783429877832532, ""darkCircles"": 0.00048163419705815613}"
2024-04-25 22:18:05.245596,"{""acne"": 0.00016066993703134358, ""blemishes"": 0.0023572524078190327, ""lips"": 0.00019176400383003056, ""dryness"": 0.001783429877832532, ""darkCircles"": 0.00048163419705815613}"
2024-04-25 22:18:22.645607,"{""acne"": 0.00016066993703134358, ""blemishes"": 0.0023572524078190327, ""lips"": 0.00019176400383003056, ""dryness"": 0.001783429877832532, ""darkCircles"": 0.00048163419705815613}"
2024-04-25 22:19:35.631586,"{""acne"": 0.007095669861882925, ""blemishes"": 0.0001638649555388838, ""lips"": 0.00015436859393958002, ""dryness"": 0.0003139915643259883, ""darkCircles"": 0.010421652346849442}"
2024-04-25 22:21:06.727274,"{""acne"": 0.0006785320583730936, ""blemishes"": 0.005886447615921497, ""lips"": 0.002519069705158472, ""dryness"": 0.00034505643998272717, ""darkCircles"": 0.00025254947831854224}"
2024-04-25 22:22:43.891493,"{""acne"": 0.006178201641887426, ""blemishes"": 0.004567160736769438, ""lips"": 0.0002743020886555314, ""dryness"": 0.0008719908655621111, ""darkCircles"": 0.0005883213598281145}"
2024-04-25 22:23:45.884918,"{""acne"": 0.00964676309376955, ""blemishes"": 0.10692279785871506, ""lips"": 0.00280679645948112, ""dryness"": 0.0019018060993403196, ""darkCircles"": 0.0013876190641894937}"
2024-04-25 22:26:11.077525,"{""acne"": 0.00016093817248474807, ""blemishes"": 0.0004182548145763576, ""lips"": 0.001015116460621357, ""dryness"": 0.00011855910997837782, ""darkCircles"": 4.827261727768928e-05}"
2024-04-25 22:32:30.662490,"{""acne"": 0.024346046149730682, ""blemishes"": 0.35953041911125183, ""lips"": 0.0012667544651776552, ""dryness"": 0.0012089386582374573, ""darkCircles"": 0.0024655244778841734}"
2024-04-25 22:34:51.964580,"{""acne"": 0.0036374807823449373, ""blemishes"": 0.012596097774803638, ""lips"": 0.0017615534598007798, ""dryness"": 0.004309392534196377, ""darkCircles"": 0.0030636428855359554}"
2024-04-25 22:35:06.109399,"{""acne"": 0.0016693026991561055, ""blemishes"": 0.07439090311527252, ""lips"": 0.001779576763510704, ""dryness"": 0.0021774438209831715, ""darkCircles"": 0.0062101371586322784}"
